city,Male_city,Female_city,Total_city,Age categories,Male_age,Female_ age,Total_age,Education status,Male_Education,Female_Education,Total_Education,Marital status,Male_Marital,Female_Marital,Total_Marital
Riyadh,23.77654675,10.41087836,18.70864189,from 15-19 years,38.09880451,9.001281765,23.85925371,Illiterate,7.415766638,3.834490493,5.213827428,Never married,34.2156277,13.49834867,26.12485849
Makkah,29.18648056,14.30530686,23.09876203,from 20-24 years,36.3830686,13.5364901,25.71360447,   Reads and writes,11.69915322,5.784681513,8.977997557,Married,22.33361686,10.70177184,17.89353466
Madinah,22.23065035,9.281562792,16.84579159,From 25-29 years,30.69123595,12.47518634,22.54582078,Elementary,14.06308914,6.413148089,11.28105446,Divorced,27.51050351,13.49628658,18.32588799
Qassim,22.80691193,9.609726729,17.57010365,From 30-34 years,25.98227006,12.13277003,20.28861597,Intermediate,22.22602323,9.300753925,17.39498789,Widow,13.36121733,6.219248486,6.934480644
Eastern Region,27.08587969,12.09751422,21.49544874,From 35-39 years,23.13954795,12.09116573,19.02397934,Secondary school or equivalent,29.00886121,12.18213201,22.33935243,,,,
Asir,24.49492244,8.152657486,17.32223793,From 40-44 years,22.16699873,10.98477271,18.12960226,   Diploma below university degree,31.64977643,15.59892185,27.63680516,,,,
Tabuk,22.72164555,9.988718837,17.43589128,From 45-49 years,20.68826629,13.22119325,18.16159078,   University graduate,35.2738894,16.30372702,27.01108081,,,,
Hail,24.02073496,5.940907487,16.22279433,From 50-54 years,21.49350943,12.92357039,18.80112198,Higher diploma,53.29912766,23.94751144,47.21121007,,,,
Northern Borders,22.12822158,11.52847494,17.54233451,From 55-59 years,23.99530747,10.4172791,19.42665552,Masters degree,40.18277547,28.16290036,36.51284215,,,,
Jazan,28.18933487,10.61640323,20.35597901,From 60-64 years,21.38579791,6.088089884,15.65882928,  PhD degree,34.19368245,14.41753831,28.52996085,,,,
Najran,27.83925317,11.34083058,20.8547231,65 years and above,14.32577341,3.515035409,9.217620198,,,,,,,,
Al-Baha,25.79129351,7.036150317,17.24394705,,,,,,,,,,,,
Al-Jouf,23.67719366,11.01644704,18.60121936,,,,,,,,,,,,
